,importance
alcohol,0.15012149046398884
sulphates,0.11120164475092471
total_sulfur_dioxide,0.10474260705958455
volatile_acidity,0.10112616765296571
density,0.08981768583602746
chlorides,0.08333440105215567
fixed_acidity,0.07618705039049252
citric_acid,0.07526529775690126
pH,0.07320721231159838
residual_sugar,0.06948707669191984
free_sulfur_dioxide,0.06550936603344118
