random state,accuracy,one off,two off,fail
1.0,0.709375,26.5625,2.5,0.0
27.0,0.703125,26.5625,3.125,0.0
53.0,0.709375,25.3125,3.4375,0.3125
79.0,0.66875,28.75,4.0625,0.3125
105.0,0.715625,25.625,2.5,0.3125
131.0,0.690625,28.75,2.1875,0.0
157.0,0.66875,30.3125,2.8125,0.0
183.0,0.703125,26.25,3.4375,0.0
209.0,0.725,24.0625,3.4375,0.0
235.0,0.678125,29.6875,2.5,0.0
