random state,accuracy,one off,two off,fail
1.0,0.7125,25.0,2.5,0.0
27.0,0.71875,28.125,1.875,0.0
53.0,0.7125,25.3125,2.8125,0.3125
79.0,0.646875,29.0625,3.4375,0.3125
105.0,0.696875,26.5625,2.8125,0.3125
131.0,0.68125,30.9375,1.5625,0.3125
157.0,0.6625,30.0,3.125,0.0
183.0,0.66875,29.375,3.125,0.625
209.0,0.709375,25.3125,3.125,0.0
235.0,0.675,29.375,1.875,0.0
